Año_encuesta;Region;PIA;PIM;Certificacion;Compromiso_anual;Atencion_compromiso_mensual;Devengado;Girado;%_avance;Devengado en Millones;indice_real;consumo_hierro;
2015;AYACUCHO;1946378;5857489;5760402;5760402;5760402;5727245;5727245;97.8;5.727245;0.500912272;0.41119778;
2015;CAJAMARCA;1081413;2251227;2240147;2240147;2240147;2240146;2240146;99.5;2.240146;0.354971178;0.302787974;
2015;CUSCO;1924247;2289028;2273009;2273009;2273009;2272448;2272448;99.3;2.272448;0.53087378;0.374621925;
2015;HUANCAVELICA;1089004;4866986;4820603;4820598;4820598;4816765;4814273;99;4.816765;0.53417076;0.409180625;
2015;HUANUCO;552301;3242587;3001010;3001010;3001010;2999490;2998783;92.5;2.99949;0.42859394;0.329220009;
2015;ICA;454437;1178512;1081349;1081349;1081349;1077459;1077459;91.4;1.077459;0.446306886;0.210472395;
2015;JUNIN;1708507;3320616;3260830;3259306;3259306;3259306;3258306;98.2;3.259306;0.53948865;0.348694629;
2015;LA LIBERTAD;126418;154331;144321;144321;144321;143821;143756;93.2;0.143821;0.340258566;0.308780155;
2015;LAMBAYEQUE;1385897;2324634;2268201;2268201;2268201;2268129;2268129;97.6;2.268129;0.359761733;0.257625563;
2015;LORETO;1448791;4201818;4159218;4158606;4158606;4105288;4102804;97.7;4.105288;0.556284585;0.26645665;
2015;MADRE DE DIOS;57955;177610;84515;84515;84515;84515;84515;47.6;0.084515;0.581633055;0.231209728;
2015;MOQUEGUA;110499;375667;359334;351850;351850;350829;350829;93.4;0.350829;0.39271388;0.27847872;
2015;PASCO;177515;620315;590376;590376;590376;590376;590328;95.2;0.590376;0.561135425;0.315484005;
2015;PIURA;443594;2416524;2413209;2413205;2413205;2412830;2412830;99.8;2.41283;0.359291855;0.43134567;
2015;PUNO;1000737;2883015;2684883;2684883;2684883;2660977;2660977;92.3;2.660977;0.760346633;0.259400723;
2015;SAN MARTIN;604215;4274864;4162124;4159657;4159657;4158522;4158282;97.3;4.158522;0.447324652;0.346743608;
2015;TACNA;6940;381600;367678;367678;367678;367572;367572;96.3;0.367572;0.388946045;0.292391833;
2015;TUMBES;21600;203545;203519;203519;203519;203519;203519;100;0.203519;0.483735554;0.462192036;
2015;UCAYALI;242107;1403627;1392971;1392970;1392970;1391635;1391635;99.1;1.391635;0.543117185;0.221069076;
2015;LIMA;1148424;3589759;3576234;3568642;3568642;3494623;3494406;97.4;3.494623;0.487200283;0.399252917;
2015;CALLAO;662211;2125274;2042260;2042260;2042260;2041600;2038452;96.1;2.0416;0.343359433;0.283154914;
2016;AMAZONAS;4180703;5812590;5809780;5809780;5809780;5809701;5809701;100;5.809701;0.446326086;0.348707055;
2016;ANCASH;350738;2323162;2126486;2126486;2126486;2125823;2123898;91.5;2.125823;0.412788526;0.34457574;
2016;APURIMAC;1392477;2135265;2131440;2131440;2131440;2131440;2130760;99.8;2.13144;0.534558354;0.461703741;
2016;AREQUIPA;1550265;1712445;1696807;1696807;1696807;1694607;1694854;99;1.694607;0.445215539;0.31737282;
2016;AYACUCHO;2675555;3900521;3774375;3745362;3745362;3743571;3743311;96;3.743571;0.528191523;0.427628828;
2016;CAJAMARCA;2563618;4972772;4867168;4723635;4723635;4722802;4715973;95;4.722802;0.303236824;0.264289634;
2016;CUSCO;2371008;5273021;5111373;5111272;5111272;4991598;4991598;94.7;4.991598;0.566415344;0.347123375;
2016;HUANCAVELICA;1280698;2153469;2088208;2088208;2088208;2086168;2082562;96.9;2.086168;0.580674974;0.384961333;
2016;HUANUCO;513038;1215581;1208460;1206636;1206636;1206506;1206430;99.3;1.206506;0.469662664;0.295144941;
2016;ICA;522394;1433149;1265384;1265384;1265384;1265196;1265196;88.3;1.265196;0.411251068;0.245235027;
2016;JUNIN;2089850;4344491;4282834;4282421;4282421;4282242;4282127;98.6;4.282242;0.559439141;0.291910253;
2016;LA LIBERTAD;970451;1271885;1236040;1234581;1234581;1234468;1234468;97.1;1.234468;0.357126338;0.334100956;
2016;LAMBAYEQUE;1482190;3585660;3564141;2947586;2947586;2947586;2947586;82.2;2.947586;0.383177732;0.218435874;
2016;LORETO;2160765;2403072;2402284;2402284;2402284;2394398;2394398;99.6;2.394398;0.607286495;0.270114666;
2016;MADRE DE DIOS;57561;495692;417556;260931;260931;260931;260931;52.6;0.260931;0.556485605;0.208483504;
2016;MOQUEGUA;112059;234030;227511;196011;196011;196011;196011;83.8;0.196011;0.381407047;0.381028088;
2016;PASCO;297632;852838;683823;683823;683823;683823;683823;80.2;0.683823;0.606152393;0.288699638;
2016;PIURA;513265;1339284;1333490;1333490;1333490;1331824;1331824;99.4;1.331824;0.427920756;0.319235036;
2016;PUNO;692531;2271820;1903628;1626889;1626889;1626408;1626408;71.6;1.626408;0.759262648;0.223922028;
2016;SAN MARTIN;722273;2632010;2541951;2541951;2541951;2482072;2482052;94.3;2.482072;0.483327512;0.296712806;
2016;TACNA;6940;221230;205454;158953;158953;156792;156792;70.9;0.156792;0.350864415;0.292589883;
2016;TUMBES;21600;65098;65097;65097;65097;65097;65097;100;0.065097;0.488272245;0.404376961;
2016;UCAYALI;237707;631410;631304;631304;631304;631304;631304;100;0.631304;0.570842425;0.224503455;
2016;LIMA;1140045;2228640;2166905;2130903;2130903;2124183;2124175;95.3;2.124183;0.408636464;0.336606608;
2016;CALLAO;677640;1528518;1261510;1236402;1236402;1236322;1236322;80.9;1.236322;0.438000527;0.318287609;
2017;AMAZONAS;5639741;5956790;5843008;5843008;5843008;5842943;5840391;98.1;5.842943;0.511572357;0.346277405;
2017;ANCASH;2813435;3224195;3214368;3214315;3214315;3208983;3208961;99.5;3.208983;0.428482467;0.378384202;
2017;APURIMAC;2354841;2673097;2669078;2669033;2632366;2632225;2632225;98.5;2.632225;0.542090877;0.487399624;
2017;AREQUIPA;2627257;2843103;2837276;2836738;2836738;2836738;2836738;99.8;2.836738;0.3415621;0.283788245;
2017;AYACUCHO;3227380;4619985;4167114;4069209;4069209;3990695;3990487;86.4;3.990695;0.483281817;0.375781938;
2017;CAJAMARCA;3350651;4159208;4078297;3860015;3857066;3837451;3837451;92.3;3.837451;0.375908312;0.326325019;
2017;CUSCO;6122401;7163816;6756300;6791672;6785665;6785001;6785001;94.7;6.785001;0.55321073;0.323278455;
